group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,adqselect,1000,,,760670.0,ns,384
nth_element,adqselect,1000,,,1665481.0,ns,768
nth_element,adqselect,1000,,,2357966.0,ns,1152
nth_element,adqselect,1000,,,3616856.0,ns,1536
nth_element,adqselect,1000,,,3869003.0,ns,1920
nth_element,adqselect,1000,,,4534560.0,ns,2304
nth_element,adqselect,1000,,,5524498.0,ns,2688
nth_element,adqselect,1000,,,5899060.0,ns,3072
nth_element,adqselect,1000,,,7901291.0,ns,3456
nth_element,adqselect,1000,,,7544169.0,ns,3840
nth_element,adqselect,1000,,,9037064.0,ns,4224
nth_element,adqselect,1000,,,10436300.0,ns,4608
nth_element,adqselect,1000,,,10673109.0,ns,4992
nth_element,adqselect,1000,,,11758606.0,ns,5376
nth_element,adqselect,1000,,,11019999.0,ns,5760
nth_element,adqselect,1000,,,11949633.0,ns,6144
nth_element,adqselect,1000,,,13352919.0,ns,6528
nth_element,adqselect,1000,,,17671057.0,ns,6912
nth_element,adqselect,1000,,,16950914.0,ns,7296
nth_element,adqselect,1000,,,15301657.0,ns,7680
nth_element,adqselect,1000,,,17271782.0,ns,8064
nth_element,adqselect,1000,,,18284617.0,ns,8448
nth_element,adqselect,1000,,,14073332.0,ns,8832
nth_element,adqselect,1000,,,17432467.0,ns,9216
nth_element,adqselect,1000,,,19452064.0,ns,9600
nth_element,adqselect,1000,,,18872208.0,ns,9984
nth_element,adqselect,1000,,,21776778.0,ns,10368
nth_element,adqselect,1000,,,21448139.0,ns,10752
nth_element,adqselect,1000,,,23914380.0,ns,11136
nth_element,adqselect,1000,,,21944467.0,ns,11520
nth_element,adqselect,1000,,,25809567.0,ns,11904
nth_element,adqselect,1000,,,27600895.0,ns,12288
nth_element,adqselect,1000,,,25194926.0,ns,12672
nth_element,adqselect,1000,,,29771847.0,ns,13056
nth_element,adqselect,1000,,,24367689.0,ns,13440
nth_element,adqselect,1000,,,26639773.0,ns,13824
nth_element,adqselect,1000,,,26142333.0,ns,14208
nth_element,adqselect,1000,,,28629564.0,ns,14592
nth_element,adqselect,1000,,,33648466.0,ns,14976
nth_element,adqselect,1000,,,29561059.0,ns,15360
nth_element,adqselect,1000,,,30469328.0,ns,15744
nth_element,adqselect,1000,,,33098127.0,ns,16128
nth_element,adqselect,1000,,,33956516.0,ns,16512
nth_element,adqselect,1000,,,30921208.0,ns,16896
nth_element,adqselect,1000,,,37919897.0,ns,17280
nth_element,adqselect,1000,,,32451715.0,ns,17664
nth_element,adqselect,1000,,,37881919.0,ns,18048
nth_element,adqselect,1000,,,35436077.0,ns,18432
nth_element,adqselect,1000,,,36807025.0,ns,18816
nth_element,adqselect,1000,,,34584175.0,ns,19200
nth_element,adqselect,1000,,,30288414.0,ns,19584
nth_element,adqselect,1000,,,42539937.0,ns,19968
nth_element,adqselect,1000,,,49374656.0,ns,20352
nth_element,adqselect,1000,,,47573476.0,ns,20736
nth_element,adqselect,1000,,,44783415.0,ns,21120
nth_element,adqselect,1000,,,46667048.0,ns,21504
nth_element,adqselect,1000,,,28696787.0,ns,21888
nth_element,adqselect,1000,,,34834723.0,ns,22272
nth_element,adqselect,1000,,,35743879.0,ns,22656
nth_element,adqselect,1000,,,37687067.0,ns,23040
nth_element,adqselect,1000,,,46747431.0,ns,23424
nth_element,adqselect,1000,,,54915317.0,ns,23808
nth_element,adqselect,1000,,,45710157.0,ns,24192
nth_element,adqselect,1000,,,52123471.0,ns,24576
nth_element,adqselect,1000,,,52294466.0,ns,24960
nth_element,adqselect,1000,,,50225335.0,ns,25344
nth_element,adqselect,1000,,,44814399.0,ns,25728
nth_element,adqselect,1000,,,56678953.0,ns,26112
nth_element,adqselect,1000,,,48653630.0,ns,26496
nth_element,adqselect,1000,,,53880527.0,ns,26880
nth_element,adqselect,1000,,,54070018.0,ns,27264
nth_element,adqselect,1000,,,57540896.0,ns,27648
nth_element,adqselect,1000,,,55103879.0,ns,28032
nth_element,adqselect,1000,,,55837070.0,ns,28416
nth_element,adqselect,1000,,,53660065.0,ns,28800
nth_element,adqselect,1000,,,62547576.0,ns,29184
nth_element,adqselect,1000,,,58646817.0,ns,29568
nth_element,adqselect,1000,,,54284249.0,ns,29952
nth_element,adqselect,1000,,,65927187.0,ns,30336
nth_element,adqselect,1000,,,65209514.0,ns,30720
nth_element,adqselect,1000,,,65839175.0,ns,31104
nth_element,adqselect,1000,,,62337814.0,ns,31488
nth_element,adqselect,1000,,,65959479.0,ns,31872
nth_element,adqselect,1000,,,63562240.0,ns,32256
nth_element,adqselect,1000,,,60068895.0,ns,32640
nth_element,adqselect,1000,,,77149931.0,ns,33024
nth_element,adqselect,1000,,,66572486.0,ns,33408
nth_element,adqselect,1000,,,73809853.0,ns,33792
nth_element,adqselect,1000,,,66264178.0,ns,34176
nth_element,adqselect,1000,,,69668576.0,ns,34560
nth_element,adqselect,1000,,,75105915.0,ns,34944
nth_element,adqselect,1000,,,67649888.0,ns,35328
nth_element,adqselect,1000,,,81660240.0,ns,35712
nth_element,adqselect,1000,,,72456897.0,ns,36096
nth_element,adqselect,1000,,,73400274.0,ns,36480
nth_element,adqselect,1000,,,90671467.0,ns,36864
nth_element,adqselect,1000,,,72795644.0,ns,37248
nth_element,adqselect,1000,,,70140766.0,ns,37632
nth_element,adqselect,1000,,,81971213.0,ns,38016
nth_element,adqselect,1000,,,78180878.0,ns,38400
