group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,adqselect,1000000,,,50940833.0,ns,9
nth_element,adqselect,1000000,,,49155974.0,ns,9
nth_element,adqselect,1000000,,,49545575.0,ns,9
nth_element,adqselect,1000000,,,44495637.0,ns,9
nth_element,adqselect,1000000,,,43185799.0,ns,9
nth_element,adqselect,1000000,,,46559650.0,ns,9
nth_element,adqselect,1000000,,,45416508.0,ns,9
nth_element,adqselect,1000000,,,45235775.0,ns,9
nth_element,adqselect,1000000,,,49085885.0,ns,9
nth_element,adqselect,1000000,,,45063292.0,ns,9
nth_element,adqselect,1000000,,,48736676.0,ns,9
nth_element,adqselect,1000000,,,44723978.0,ns,9
nth_element,adqselect,1000000,,,50310680.0,ns,9
nth_element,adqselect,1000000,,,46010739.0,ns,9
nth_element,adqselect,1000000,,,50120379.0,ns,9
nth_element,adqselect,1000000,,,45407879.0,ns,9
nth_element,adqselect,1000000,,,44930828.0,ns,9
nth_element,adqselect,1000000,,,48144064.0,ns,9
nth_element,adqselect,1000000,,,46106214.0,ns,9
nth_element,adqselect,1000000,,,50779673.0,ns,9
nth_element,adqselect,1000000,,,51402423.0,ns,9
nth_element,adqselect,1000000,,,48574798.0,ns,9
nth_element,adqselect,1000000,,,55243344.0,ns,9
nth_element,adqselect,1000000,,,49881455.0,ns,9
nth_element,adqselect,1000000,,,50414953.0,ns,9
nth_element,adqselect,1000000,,,51054332.0,ns,9
nth_element,adqselect,1000000,,,49133579.0,ns,9
nth_element,adqselect,1000000,,,47229891.0,ns,9
nth_element,adqselect,1000000,,,48609984.0,ns,9
nth_element,adqselect,1000000,,,54541385.0,ns,9
nth_element,adqselect,1000000,,,49832433.0,ns,9
nth_element,adqselect,1000000,,,52662590.0,ns,9
nth_element,adqselect,1000000,,,51111286.0,ns,9
nth_element,adqselect,1000000,,,50043218.0,ns,9
nth_element,adqselect,1000000,,,48700881.0,ns,9
nth_element,adqselect,1000000,,,46099479.0,ns,9
nth_element,adqselect,1000000,,,49091794.0,ns,9
nth_element,adqselect,1000000,,,52061218.0,ns,9
nth_element,adqselect,1000000,,,47486840.0,ns,9
nth_element,adqselect,1000000,,,47453522.0,ns,9
nth_element,adqselect,1000000,,,51807750.0,ns,9
nth_element,adqselect,1000000,,,48510240.0,ns,9
nth_element,adqselect,1000000,,,46295451.0,ns,9
nth_element,adqselect,1000000,,,50487793.0,ns,9
nth_element,adqselect,1000000,,,49612604.0,ns,9
nth_element,adqselect,1000000,,,52768859.0,ns,9
nth_element,adqselect,1000000,,,50499101.0,ns,9
nth_element,adqselect,1000000,,,46626902.0,ns,9
nth_element,adqselect,1000000,,,46229556.0,ns,9
nth_element,adqselect,1000000,,,45268939.0,ns,9
nth_element,adqselect,1000000,,,41561324.0,ns,9
nth_element,adqselect,1000000,,,52536658.0,ns,9
nth_element,adqselect,1000000,,,45220793.0,ns,9
nth_element,adqselect,1000000,,,47062673.0,ns,9
nth_element,adqselect,1000000,,,47018652.0,ns,9
nth_element,adqselect,1000000,,,56587874.0,ns,9
nth_element,adqselect,1000000,,,49798012.0,ns,9
nth_element,adqselect,1000000,,,51225400.0,ns,9
nth_element,adqselect,1000000,,,51708234.0,ns,9
nth_element,adqselect,1000000,,,47123214.0,ns,9
nth_element,adqselect,1000000,,,53848813.0,ns,9
nth_element,adqselect,1000000,,,49845671.0,ns,9
nth_element,adqselect,1000000,,,50865903.0,ns,9
nth_element,adqselect,1000000,,,44215995.0,ns,9
nth_element,adqselect,1000000,,,46047040.0,ns,9
nth_element,adqselect,1000000,,,49671538.0,ns,9
nth_element,adqselect,1000000,,,45376347.0,ns,9
nth_element,adqselect,1000000,,,47524203.0,ns,9
nth_element,adqselect,1000000,,,45886532.0,ns,9
nth_element,adqselect,1000000,,,40933037.0,ns,9
nth_element,adqselect,1000000,,,45311508.0,ns,9
nth_element,adqselect,1000000,,,46780854.0,ns,9
nth_element,adqselect,1000000,,,47568740.0,ns,9
nth_element,adqselect,1000000,,,40621412.0,ns,9
nth_element,adqselect,1000000,,,47174741.0,ns,9
nth_element,adqselect,1000000,,,46522595.0,ns,9
nth_element,adqselect,1000000,,,53418131.0,ns,9
nth_element,adqselect,1000000,,,47804147.0,ns,9
nth_element,adqselect,1000000,,,44987595.0,ns,9
nth_element,adqselect,1000000,,,40758086.0,ns,9
nth_element,adqselect,1000000,,,43769132.0,ns,9
nth_element,adqselect,1000000,,,41598185.0,ns,9
nth_element,adqselect,1000000,,,53479113.0,ns,9
nth_element,adqselect,1000000,,,44609642.0,ns,9
nth_element,adqselect,1000000,,,47455138.0,ns,9
nth_element,adqselect,1000000,,,47591305.0,ns,9
nth_element,adqselect,1000000,,,50861443.0,ns,9
nth_element,adqselect,1000000,,,41842603.0,ns,9
nth_element,adqselect,1000000,,,50882097.0,ns,9
nth_element,adqselect,1000000,,,44824723.0,ns,9
nth_element,adqselect,1000000,,,46561747.0,ns,9
nth_element,adqselect,1000000,,,51431761.0,ns,9
nth_element,adqselect,1000000,,,48918632.0,ns,9
nth_element,adqselect,1000000,,,51765932.0,ns,9
nth_element,adqselect,1000000,,,46697927.0,ns,9
nth_element,adqselect,1000000,,,48223256.0,ns,9
nth_element,adqselect,1000000,,,52372993.0,ns,9
nth_element,adqselect,1000000,,,48003735.0,ns,9
nth_element,adqselect,1000000,,,47119628.0,ns,9
nth_element,adqselect,1000000,,,50460579.0,ns,9
