group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,floydrivest,100000,,,1259648.0,ns,1
nth_element,floydrivest,100000,,,2401409.0,ns,2
nth_element,floydrivest,100000,,,3214196.0,ns,3
nth_element,floydrivest,100000,,,3760392.0,ns,4
nth_element,floydrivest,100000,,,5494893.0,ns,5
nth_element,floydrivest,100000,,,5780725.0,ns,6
nth_element,floydrivest,100000,,,8118999.0,ns,7
nth_element,floydrivest,100000,,,8668193.0,ns,8
nth_element,floydrivest,100000,,,8135363.0,ns,9
nth_element,floydrivest,100000,,,11242466.0,ns,10
nth_element,floydrivest,100000,,,10927001.0,ns,11
nth_element,floydrivest,100000,,,13288366.0,ns,12
nth_element,floydrivest,100000,,,14463877.0,ns,13
nth_element,floydrivest,100000,,,14653852.0,ns,14
nth_element,floydrivest,100000,,,16773744.0,ns,15
nth_element,floydrivest,100000,,,18515913.0,ns,16
nth_element,floydrivest,100000,,,21712756.0,ns,17
nth_element,floydrivest,100000,,,17426391.0,ns,18
nth_element,floydrivest,100000,,,19383179.0,ns,19
nth_element,floydrivest,100000,,,21491921.0,ns,20
nth_element,floydrivest,100000,,,22209289.0,ns,21
nth_element,floydrivest,100000,,,23575982.0,ns,22
nth_element,floydrivest,100000,,,20026023.0,ns,23
nth_element,floydrivest,100000,,,27776619.0,ns,24
nth_element,floydrivest,100000,,,23630390.0,ns,25
nth_element,floydrivest,100000,,,29678452.0,ns,26
nth_element,floydrivest,100000,,,32062791.0,ns,27
nth_element,floydrivest,100000,,,33121309.0,ns,28
nth_element,floydrivest,100000,,,32200245.0,ns,29
nth_element,floydrivest,100000,,,29626750.0,ns,30
nth_element,floydrivest,100000,,,33181483.0,ns,31
nth_element,floydrivest,100000,,,39145385.0,ns,32
nth_element,floydrivest,100000,,,40483775.0,ns,33
nth_element,floydrivest,100000,,,33863403.0,ns,34
nth_element,floydrivest,100000,,,42303661.0,ns,35
nth_element,floydrivest,100000,,,41045951.0,ns,36
nth_element,floydrivest,100000,,,40537656.0,ns,37
nth_element,floydrivest,100000,,,41158572.0,ns,38
nth_element,floydrivest,100000,,,59876546.0,ns,39
nth_element,floydrivest,100000,,,44106289.0,ns,40
nth_element,floydrivest,100000,,,44019664.0,ns,41
nth_element,floydrivest,100000,,,44164770.0,ns,42
nth_element,floydrivest,100000,,,50903728.0,ns,43
nth_element,floydrivest,100000,,,56583337.0,ns,44
nth_element,floydrivest,100000,,,50204288.0,ns,45
nth_element,floydrivest,100000,,,54233325.0,ns,46
nth_element,floydrivest,100000,,,49265808.0,ns,47
nth_element,floydrivest,100000,,,52685914.0,ns,48
nth_element,floydrivest,100000,,,48567275.0,ns,49
nth_element,floydrivest,100000,,,53364202.0,ns,50
nth_element,floydrivest,100000,,,56273769.0,ns,51
nth_element,floydrivest,100000,,,62871017.0,ns,52
nth_element,floydrivest,100000,,,58349851.0,ns,53
nth_element,floydrivest,100000,,,62488567.0,ns,54
nth_element,floydrivest,100000,,,65580831.0,ns,55
nth_element,floydrivest,100000,,,62128935.0,ns,56
nth_element,floydrivest,100000,,,59811295.0,ns,57
nth_element,floydrivest,100000,,,47064239.0,ns,58
nth_element,floydrivest,100000,,,65127038.0,ns,59
nth_element,floydrivest,100000,,,65985090.0,ns,60
nth_element,floydrivest,100000,,,78990283.0,ns,61
nth_element,floydrivest,100000,,,65046958.0,ns,62
nth_element,floydrivest,100000,,,67406387.0,ns,63
nth_element,floydrivest,100000,,,67893802.0,ns,64
nth_element,floydrivest,100000,,,68625440.0,ns,65
nth_element,floydrivest,100000,,,75752082.0,ns,66
nth_element,floydrivest,100000,,,67189762.0,ns,67
nth_element,floydrivest,100000,,,68911928.0,ns,68
nth_element,floydrivest,100000,,,86743736.0,ns,69
nth_element,floydrivest,100000,,,72371507.0,ns,70
nth_element,floydrivest,100000,,,67561623.0,ns,71
nth_element,floydrivest,100000,,,76043769.0,ns,72
nth_element,floydrivest,100000,,,74587819.0,ns,73
nth_element,floydrivest,100000,,,89154019.0,ns,74
nth_element,floydrivest,100000,,,88524510.0,ns,75
nth_element,floydrivest,100000,,,91312176.0,ns,76
nth_element,floydrivest,100000,,,95601321.0,ns,77
nth_element,floydrivest,100000,,,104710980.0,ns,78
nth_element,floydrivest,100000,,,67278400.0,ns,79
nth_element,floydrivest,100000,,,103623314.0,ns,80
nth_element,floydrivest,100000,,,93625927.0,ns,81
nth_element,floydrivest,100000,,,88275824.0,ns,82
nth_element,floydrivest,100000,,,81384067.0,ns,83
nth_element,floydrivest,100000,,,92684315.0,ns,84
nth_element,floydrivest,100000,,,83903132.0,ns,85
nth_element,floydrivest,100000,,,92361543.0,ns,86
nth_element,floydrivest,100000,,,97022989.0,ns,87
nth_element,floydrivest,100000,,,90195288.0,ns,88
nth_element,floydrivest,100000,,,95593950.0,ns,89
nth_element,floydrivest,100000,,,103952129.0,ns,90
nth_element,floydrivest,100000,,,108273574.0,ns,91
nth_element,floydrivest,100000,,,107995307.0,ns,92
nth_element,floydrivest,100000,,,98926790.0,ns,93
nth_element,floydrivest,100000,,,110353257.0,ns,94
nth_element,floydrivest,100000,,,101519171.0,ns,95
nth_element,floydrivest,100000,,,114525868.0,ns,96
nth_element,floydrivest,100000,,,115816787.0,ns,97
nth_element,floydrivest,100000,,,110866347.0,ns,98
nth_element,floydrivest,100000,,,101030224.0,ns,99
nth_element,floydrivest,100000,,,107730235.0,ns,100
