group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,floydrivest,1000000,,,61780785.0,ns,4
nth_element,floydrivest,1000000,,,46971083.0,ns,4
nth_element,floydrivest,1000000,,,52822218.0,ns,4
nth_element,floydrivest,1000000,,,64720205.0,ns,4
nth_element,floydrivest,1000000,,,58044356.0,ns,4
nth_element,floydrivest,1000000,,,46898073.0,ns,4
nth_element,floydrivest,1000000,,,54886712.0,ns,4
nth_element,floydrivest,1000000,,,58607471.0,ns,4
nth_element,floydrivest,1000000,,,50620653.0,ns,4
nth_element,floydrivest,1000000,,,56614681.0,ns,4
nth_element,floydrivest,1000000,,,55438275.0,ns,4
nth_element,floydrivest,1000000,,,59441360.0,ns,4
nth_element,floydrivest,1000000,,,62300041.0,ns,4
nth_element,floydrivest,1000000,,,41797453.0,ns,4
nth_element,floydrivest,1000000,,,57958524.0,ns,4
nth_element,floydrivest,1000000,,,56475211.0,ns,4
nth_element,floydrivest,1000000,,,48594346.0,ns,4
nth_element,floydrivest,1000000,,,51436879.0,ns,4
nth_element,floydrivest,1000000,,,63272946.0,ns,4
nth_element,floydrivest,1000000,,,56890161.0,ns,4
nth_element,floydrivest,1000000,,,53712170.0,ns,4
nth_element,floydrivest,1000000,,,58672988.0,ns,4
nth_element,floydrivest,1000000,,,49057749.0,ns,4
nth_element,floydrivest,1000000,,,57681151.0,ns,4
nth_element,floydrivest,1000000,,,60123726.0,ns,4
nth_element,floydrivest,1000000,,,55352421.0,ns,4
nth_element,floydrivest,1000000,,,61309616.0,ns,4
nth_element,floydrivest,1000000,,,57317255.0,ns,4
nth_element,floydrivest,1000000,,,58661868.0,ns,4
nth_element,floydrivest,1000000,,,56685106.0,ns,4
nth_element,floydrivest,1000000,,,55488968.0,ns,4
nth_element,floydrivest,1000000,,,53663120.0,ns,4
nth_element,floydrivest,1000000,,,54093665.0,ns,4
nth_element,floydrivest,1000000,,,63690110.0,ns,4
nth_element,floydrivest,1000000,,,60949093.0,ns,4
nth_element,floydrivest,1000000,,,60874673.0,ns,4
nth_element,floydrivest,1000000,,,49536966.0,ns,4
nth_element,floydrivest,1000000,,,50569567.0,ns,4
nth_element,floydrivest,1000000,,,56617866.0,ns,4
nth_element,floydrivest,1000000,,,47809449.0,ns,4
nth_element,floydrivest,1000000,,,59701560.0,ns,4
nth_element,floydrivest,1000000,,,60339298.0,ns,4
nth_element,floydrivest,1000000,,,60363335.0,ns,4
nth_element,floydrivest,1000000,,,58113227.0,ns,4
nth_element,floydrivest,1000000,,,52502930.0,ns,4
nth_element,floydrivest,1000000,,,49238199.0,ns,4
nth_element,floydrivest,1000000,,,52355233.0,ns,4
nth_element,floydrivest,1000000,,,60619537.0,ns,4
nth_element,floydrivest,1000000,,,56788375.0,ns,4
nth_element,floydrivest,1000000,,,53260234.0,ns,4
nth_element,floydrivest,1000000,,,50000979.0,ns,4
nth_element,floydrivest,1000000,,,56054357.0,ns,4
nth_element,floydrivest,1000000,,,56796646.0,ns,4
nth_element,floydrivest,1000000,,,46549892.0,ns,4
nth_element,floydrivest,1000000,,,59943008.0,ns,4
nth_element,floydrivest,1000000,,,59717576.0,ns,4
nth_element,floydrivest,1000000,,,53735733.0,ns,4
nth_element,floydrivest,1000000,,,56568957.0,ns,4
nth_element,floydrivest,1000000,,,56644385.0,ns,4
nth_element,floydrivest,1000000,,,52754751.0,ns,4
nth_element,floydrivest,1000000,,,67865982.0,ns,4
nth_element,floydrivest,1000000,,,51006555.0,ns,4
nth_element,floydrivest,1000000,,,65500099.0,ns,4
nth_element,floydrivest,1000000,,,53970342.0,ns,4
nth_element,floydrivest,1000000,,,56467314.0,ns,4
nth_element,floydrivest,1000000,,,49981942.0,ns,4
nth_element,floydrivest,1000000,,,62527892.0,ns,4
nth_element,floydrivest,1000000,,,51381647.0,ns,4
nth_element,floydrivest,1000000,,,59865181.0,ns,4
nth_element,floydrivest,1000000,,,55718905.0,ns,4
nth_element,floydrivest,1000000,,,57647502.0,ns,4
nth_element,floydrivest,1000000,,,65025855.0,ns,4
nth_element,floydrivest,1000000,,,56860117.0,ns,4
nth_element,floydrivest,1000000,,,61276918.0,ns,4
nth_element,floydrivest,1000000,,,57320556.0,ns,4
nth_element,floydrivest,1000000,,,57092040.0,ns,4
nth_element,floydrivest,1000000,,,60208431.0,ns,4
nth_element,floydrivest,1000000,,,58438733.0,ns,4
nth_element,floydrivest,1000000,,,71930812.0,ns,4
nth_element,floydrivest,1000000,,,64232154.0,ns,4
nth_element,floydrivest,1000000,,,64956563.0,ns,4
nth_element,floydrivest,1000000,,,67438480.0,ns,4
nth_element,floydrivest,1000000,,,62000854.0,ns,4
nth_element,floydrivest,1000000,,,57803488.0,ns,4
nth_element,floydrivest,1000000,,,59510136.0,ns,4
nth_element,floydrivest,1000000,,,62535628.0,ns,4
nth_element,floydrivest,1000000,,,61363895.0,ns,4
nth_element,floydrivest,1000000,,,50591119.0,ns,4
nth_element,floydrivest,1000000,,,65338015.0,ns,4
nth_element,floydrivest,1000000,,,58407793.0,ns,4
nth_element,floydrivest,1000000,,,62711782.0,ns,4
nth_element,floydrivest,1000000,,,67168655.0,ns,4
nth_element,floydrivest,1000000,,,57393058.0,ns,4
nth_element,floydrivest,1000000,,,60487759.0,ns,4
nth_element,floydrivest,1000000,,,57646297.0,ns,4
nth_element,floydrivest,1000000,,,68398279.0,ns,4
nth_element,floydrivest,1000000,,,44982224.0,ns,4
nth_element,floydrivest,1000000,,,59953616.0,ns,4
nth_element,floydrivest,1000000,,,58523811.0,ns,4
nth_element,floydrivest,1000000,,,63205905.0,ns,4
