group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,kth,10000,,,1251581.0,ns,11
nth_element,kth,10000,,,2436480.0,ns,22
nth_element,kth,10000,,,3577192.0,ns,33
nth_element,kth,10000,,,4561649.0,ns,44
nth_element,kth,10000,,,5784510.0,ns,55
nth_element,kth,10000,,,6581333.0,ns,66
nth_element,kth,10000,,,8515543.0,ns,77
nth_element,kth,10000,,,9388441.0,ns,88
nth_element,kth,10000,,,10508993.0,ns,99
nth_element,kth,10000,,,11134521.0,ns,110
nth_element,kth,10000,,,11655405.0,ns,121
nth_element,kth,10000,,,13172477.0,ns,132
nth_element,kth,10000,,,15803782.0,ns,143
nth_element,kth,10000,,,16007281.0,ns,154
nth_element,kth,10000,,,16701211.0,ns,165
nth_element,kth,10000,,,16989143.0,ns,176
nth_element,kth,10000,,,19272480.0,ns,187
nth_element,kth,10000,,,16988829.0,ns,198
nth_element,kth,10000,,,19732401.0,ns,209
nth_element,kth,10000,,,21164922.0,ns,220
nth_element,kth,10000,,,21266633.0,ns,231
nth_element,kth,10000,,,23430853.0,ns,242
nth_element,kth,10000,,,22370544.0,ns,253
nth_element,kth,10000,,,25458198.0,ns,264
nth_element,kth,10000,,,25489910.0,ns,275
nth_element,kth,10000,,,27120928.0,ns,286
nth_element,kth,10000,,,26588355.0,ns,297
nth_element,kth,10000,,,26704571.0,ns,308
nth_element,kth,10000,,,27981974.0,ns,319
nth_element,kth,10000,,,32552898.0,ns,330
nth_element,kth,10000,,,31818428.0,ns,341
nth_element,kth,10000,,,33260854.0,ns,352
nth_element,kth,10000,,,35086367.0,ns,363
nth_element,kth,10000,,,32467129.0,ns,374
nth_element,kth,10000,,,33316936.0,ns,385
nth_element,kth,10000,,,7876704.0,ns,396
nth_element,kth,10000,,,36515558.0,ns,407
nth_element,kth,10000,,,40353993.0,ns,418
nth_element,kth,10000,,,40900927.0,ns,429
nth_element,kth,10000,,,44747600.0,ns,440
nth_element,kth,10000,,,40701668.0,ns,451
nth_element,kth,10000,,,37922107.0,ns,462
nth_element,kth,10000,,,43249315.0,ns,473
nth_element,kth,10000,,,45628374.0,ns,484
nth_element,kth,10000,,,45250568.0,ns,495
nth_element,kth,10000,,,45031603.0,ns,506
nth_element,kth,10000,,,44400155.0,ns,517
nth_element,kth,10000,,,47753077.0,ns,528
nth_element,kth,10000,,,51427501.0,ns,539
nth_element,kth,10000,,,53883956.0,ns,550
nth_element,kth,10000,,,53135107.0,ns,561
nth_element,kth,10000,,,50280273.0,ns,572
nth_element,kth,10000,,,55250736.0,ns,583
nth_element,kth,10000,,,56410754.0,ns,594
nth_element,kth,10000,,,53781024.0,ns,605
nth_element,kth,10000,,,55910651.0,ns,616
nth_element,kth,10000,,,56895517.0,ns,627
nth_element,kth,10000,,,59608643.0,ns,638
nth_element,kth,10000,,,58723752.0,ns,649
nth_element,kth,10000,,,62761229.0,ns,660
nth_element,kth,10000,,,60103216.0,ns,671
nth_element,kth,10000,,,58922858.0,ns,682
nth_element,kth,10000,,,61997256.0,ns,693
nth_element,kth,10000,,,68902883.0,ns,704
nth_element,kth,10000,,,59970146.0,ns,715
nth_element,kth,10000,,,64450529.0,ns,726
nth_element,kth,10000,,,67346340.0,ns,737
nth_element,kth,10000,,,72963688.0,ns,748
nth_element,kth,10000,,,68531279.0,ns,759
nth_element,kth,10000,,,70443805.0,ns,770
nth_element,kth,10000,,,71260135.0,ns,781
nth_element,kth,10000,,,77724780.0,ns,792
nth_element,kth,10000,,,72237335.0,ns,803
nth_element,kth,10000,,,66915967.0,ns,814
nth_element,kth,10000,,,75444539.0,ns,825
nth_element,kth,10000,,,78871454.0,ns,836
nth_element,kth,10000,,,67445584.0,ns,847
nth_element,kth,10000,,,78804733.0,ns,858
nth_element,kth,10000,,,79513735.0,ns,869
nth_element,kth,10000,,,83309288.0,ns,880
nth_element,kth,10000,,,75797713.0,ns,891
nth_element,kth,10000,,,83283493.0,ns,902
nth_element,kth,10000,,,87075952.0,ns,913
nth_element,kth,10000,,,87578972.0,ns,924
nth_element,kth,10000,,,87841323.0,ns,935
nth_element,kth,10000,,,90507288.0,ns,946
nth_element,kth,10000,,,90034336.0,ns,957
nth_element,kth,10000,,,89018890.0,ns,968
nth_element,kth,10000,,,92148231.0,ns,979
nth_element,kth,10000,,,85593804.0,ns,990
nth_element,kth,10000,,,93205007.0,ns,1001
nth_element,kth,10000,,,92222639.0,ns,1012
nth_element,kth,10000,,,93540528.0,ns,1023
nth_element,kth,10000,,,97508665.0,ns,1034
nth_element,kth,10000,,,100044768.0,ns,1045
nth_element,kth,10000,,,105042525.0,ns,1056
nth_element,kth,10000,,,82819926.0,ns,1067
nth_element,kth,10000,,,94984238.0,ns,1078
nth_element,kth,10000,,,101673158.0,ns,1089
nth_element,kth,10000,,,94282903.0,ns,1100
