group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,kth,100000,,,1160108.0,ns,1
nth_element,kth,100000,,,2315427.0,ns,2
nth_element,kth,100000,,,3661500.0,ns,3
nth_element,kth,100000,,,4769320.0,ns,4
nth_element,kth,100000,,,5752209.0,ns,5
nth_element,kth,100000,,,7084833.0,ns,6
nth_element,kth,100000,,,8043467.0,ns,7
nth_element,kth,100000,,,9263735.0,ns,8
nth_element,kth,100000,,,10667786.0,ns,9
nth_element,kth,100000,,,11605858.0,ns,10
nth_element,kth,100000,,,12741669.0,ns,11
nth_element,kth,100000,,,14059119.0,ns,12
nth_element,kth,100000,,,14408387.0,ns,13
nth_element,kth,100000,,,16859543.0,ns,14
nth_element,kth,100000,,,18056620.0,ns,15
nth_element,kth,100000,,,19602825.0,ns,16
nth_element,kth,100000,,,21039452.0,ns,17
nth_element,kth,100000,,,22748712.0,ns,18
nth_element,kth,100000,,,22719896.0,ns,19
nth_element,kth,100000,,,23992067.0,ns,20
nth_element,kth,100000,,,25660337.0,ns,21
nth_element,kth,100000,,,25905322.0,ns,22
nth_element,kth,100000,,,26670890.0,ns,23
nth_element,kth,100000,,,27887282.0,ns,24
nth_element,kth,100000,,,28622288.0,ns,25
nth_element,kth,100000,,,27733748.0,ns,26
nth_element,kth,100000,,,29562481.0,ns,27
nth_element,kth,100000,,,32702156.0,ns,28
nth_element,kth,100000,,,34294275.0,ns,29
nth_element,kth,100000,,,35195649.0,ns,30
nth_element,kth,100000,,,38079222.0,ns,31
nth_element,kth,100000,,,37548799.0,ns,32
nth_element,kth,100000,,,38580922.0,ns,33
nth_element,kth,100000,,,37901746.0,ns,34
nth_element,kth,100000,,,40178702.0,ns,35
nth_element,kth,100000,,,39973353.0,ns,36
nth_element,kth,100000,,,39150814.0,ns,37
nth_element,kth,100000,,,42505391.0,ns,38
nth_element,kth,100000,,,41281610.0,ns,39
nth_element,kth,100000,,,44697520.0,ns,40
nth_element,kth,100000,,,44429001.0,ns,41
nth_element,kth,100000,,,44397024.0,ns,42
nth_element,kth,100000,,,50509599.0,ns,43
nth_element,kth,100000,,,50202004.0,ns,44
nth_element,kth,100000,,,49237409.0,ns,45
nth_element,kth,100000,,,52191232.0,ns,46
nth_element,kth,100000,,,54477297.0,ns,47
nth_element,kth,100000,,,54804857.0,ns,48
nth_element,kth,100000,,,51293601.0,ns,49
nth_element,kth,100000,,,54202683.0,ns,50
nth_element,kth,100000,,,57553903.0,ns,51
nth_element,kth,100000,,,61352104.0,ns,52
nth_element,kth,100000,,,60019082.0,ns,53
nth_element,kth,100000,,,57362105.0,ns,54
nth_element,kth,100000,,,60385366.0,ns,55
nth_element,kth,100000,,,61825004.0,ns,56
nth_element,kth,100000,,,61084611.0,ns,57
nth_element,kth,100000,,,64611002.0,ns,58
nth_element,kth,100000,,,62159317.0,ns,59
nth_element,kth,100000,,,70573565.0,ns,60
nth_element,kth,100000,,,68108924.0,ns,61
nth_element,kth,100000,,,67825429.0,ns,62
nth_element,kth,100000,,,66026505.0,ns,63
nth_element,kth,100000,,,70828561.0,ns,64
nth_element,kth,100000,,,68494052.0,ns,65
nth_element,kth,100000,,,74089191.0,ns,66
nth_element,kth,100000,,,77341560.0,ns,67
nth_element,kth,100000,,,77857520.0,ns,68
nth_element,kth,100000,,,78510830.0,ns,69
nth_element,kth,100000,,,77575111.0,ns,70
nth_element,kth,100000,,,77325961.0,ns,71
nth_element,kth,100000,,,82822645.0,ns,72
nth_element,kth,100000,,,84818183.0,ns,73
nth_element,kth,100000,,,81860534.0,ns,74
nth_element,kth,100000,,,80718080.0,ns,75
nth_element,kth,100000,,,86846161.0,ns,76
nth_element,kth,100000,,,88062021.0,ns,77
nth_element,kth,100000,,,86847027.0,ns,78
nth_element,kth,100000,,,91179708.0,ns,79
nth_element,kth,100000,,,92351875.0,ns,80
nth_element,kth,100000,,,93668421.0,ns,81
nth_element,kth,100000,,,88202819.0,ns,82
nth_element,kth,100000,,,90546393.0,ns,83
nth_element,kth,100000,,,98114248.0,ns,84
nth_element,kth,100000,,,93506635.0,ns,85
nth_element,kth,100000,,,94600441.0,ns,86
nth_element,kth,100000,,,98737454.0,ns,87
nth_element,kth,100000,,,96064199.0,ns,88
nth_element,kth,100000,,,102660240.0,ns,89
nth_element,kth,100000,,,96209702.0,ns,90
nth_element,kth,100000,,,98752001.0,ns,91
nth_element,kth,100000,,,99986143.0,ns,92
nth_element,kth,100000,,,102830024.0,ns,93
nth_element,kth,100000,,,109572651.0,ns,94
nth_element,kth,100000,,,103152237.0,ns,95
nth_element,kth,100000,,,105288723.0,ns,96
nth_element,kth,100000,,,103726203.0,ns,97
nth_element,kth,100000,,,108716385.0,ns,98
nth_element,kth,100000,,,111902568.0,ns,99
nth_element,kth,100000,,,111361383.0,ns,100
