group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,order_stat,1000,,,779218.0,ns,357
nth_element,order_stat,1000,,,1340833.0,ns,714
nth_element,order_stat,1000,,,2250598.0,ns,1071
nth_element,order_stat,1000,,,2672187.0,ns,1428
nth_element,order_stat,1000,,,3303304.0,ns,1785
nth_element,order_stat,1000,,,3346689.0,ns,2142
nth_element,order_stat,1000,,,4515487.0,ns,2499
nth_element,order_stat,1000,,,5079808.0,ns,2856
nth_element,order_stat,1000,,,5068712.0,ns,3213
nth_element,order_stat,1000,,,6681986.0,ns,3570
nth_element,order_stat,1000,,,7132591.0,ns,3927
nth_element,order_stat,1000,,,7061640.0,ns,4284
nth_element,order_stat,1000,,,9406656.0,ns,4641
nth_element,order_stat,1000,,,8052643.0,ns,4998
nth_element,order_stat,1000,,,9437036.0,ns,5355
nth_element,order_stat,1000,,,9163131.0,ns,5712
nth_element,order_stat,1000,,,10647315.0,ns,6069
nth_element,order_stat,1000,,,10921330.0,ns,6426
nth_element,order_stat,1000,,,12654100.0,ns,6783
nth_element,order_stat,1000,,,10970499.0,ns,7140
nth_element,order_stat,1000,,,12409304.0,ns,7497
nth_element,order_stat,1000,,,13987675.0,ns,7854
nth_element,order_stat,1000,,,11815904.0,ns,8211
nth_element,order_stat,1000,,,15193408.0,ns,8568
nth_element,order_stat,1000,,,14342082.0,ns,8925
nth_element,order_stat,1000,,,16047727.0,ns,9282
nth_element,order_stat,1000,,,15603711.0,ns,9639
nth_element,order_stat,1000,,,16118272.0,ns,9996
nth_element,order_stat,1000,,,17577122.0,ns,10353
nth_element,order_stat,1000,,,24944204.0,ns,10710
nth_element,order_stat,1000,,,17684257.0,ns,11067
nth_element,order_stat,1000,,,22725343.0,ns,11424
nth_element,order_stat,1000,,,22749979.0,ns,11781
nth_element,order_stat,1000,,,19468369.0,ns,12138
nth_element,order_stat,1000,,,21666558.0,ns,12495
nth_element,order_stat,1000,,,25363944.0,ns,12852
nth_element,order_stat,1000,,,25503367.0,ns,13209
nth_element,order_stat,1000,,,24446854.0,ns,13566
nth_element,order_stat,1000,,,26597094.0,ns,13923
nth_element,order_stat,1000,,,29236966.0,ns,14280
nth_element,order_stat,1000,,,26556698.0,ns,14637
nth_element,order_stat,1000,,,29470044.0,ns,14994
nth_element,order_stat,1000,,,32865210.0,ns,15351
nth_element,order_stat,1000,,,31752662.0,ns,15708
nth_element,order_stat,1000,,,26983758.0,ns,16065
nth_element,order_stat,1000,,,30859384.0,ns,16422
nth_element,order_stat,1000,,,35324811.0,ns,16779
nth_element,order_stat,1000,,,30663123.0,ns,17136
nth_element,order_stat,1000,,,37970616.0,ns,17493
nth_element,order_stat,1000,,,27382555.0,ns,17850
nth_element,order_stat,1000,,,39068056.0,ns,18207
nth_element,order_stat,1000,,,37214101.0,ns,18564
nth_element,order_stat,1000,,,36683940.0,ns,18921
nth_element,order_stat,1000,,,35542343.0,ns,19278
nth_element,order_stat,1000,,,31406027.0,ns,19635
nth_element,order_stat,1000,,,32330729.0,ns,19992
nth_element,order_stat,1000,,,33684222.0,ns,20349
nth_element,order_stat,1000,,,41906367.0,ns,20706
nth_element,order_stat,1000,,,49486567.0,ns,21063
nth_element,order_stat,1000,,,43380242.0,ns,21420
nth_element,order_stat,1000,,,37913455.0,ns,21777
nth_element,order_stat,1000,,,43159493.0,ns,22134
nth_element,order_stat,1000,,,42831910.0,ns,22491
nth_element,order_stat,1000,,,45369337.0,ns,22848
nth_element,order_stat,1000,,,43481372.0,ns,23205
nth_element,order_stat,1000,,,36432272.0,ns,23562
nth_element,order_stat,1000,,,30272446.0,ns,23919
nth_element,order_stat,1000,,,46141016.0,ns,24276
nth_element,order_stat,1000,,,38637723.0,ns,24633
nth_element,order_stat,1000,,,47103378.0,ns,24990
nth_element,order_stat,1000,,,53222007.0,ns,25347
nth_element,order_stat,1000,,,41098322.0,ns,25704
nth_element,order_stat,1000,,,43433667.0,ns,26061
nth_element,order_stat,1000,,,50453931.0,ns,26418
nth_element,order_stat,1000,,,53355286.0,ns,26775
nth_element,order_stat,1000,,,53407285.0,ns,27132
nth_element,order_stat,1000,,,57586632.0,ns,27489
nth_element,order_stat,1000,,,45509739.0,ns,27846
nth_element,order_stat,1000,,,48951350.0,ns,28203
nth_element,order_stat,1000,,,48527007.0,ns,28560
nth_element,order_stat,1000,,,43661830.0,ns,28917
nth_element,order_stat,1000,,,49716449.0,ns,29274
nth_element,order_stat,1000,,,41870957.0,ns,29631
nth_element,order_stat,1000,,,47325356.0,ns,29988
nth_element,order_stat,1000,,,41491997.0,ns,30345
nth_element,order_stat,1000,,,63674803.0,ns,30702
nth_element,order_stat,1000,,,65701289.0,ns,31059
nth_element,order_stat,1000,,,64178023.0,ns,31416
nth_element,order_stat,1000,,,58103835.0,ns,31773
nth_element,order_stat,1000,,,72525589.0,ns,32130
nth_element,order_stat,1000,,,66860743.0,ns,32487
nth_element,order_stat,1000,,,62094698.0,ns,32844
nth_element,order_stat,1000,,,60388359.0,ns,33201
nth_element,order_stat,1000,,,64846749.0,ns,33558
nth_element,order_stat,1000,,,68705929.0,ns,33915
nth_element,order_stat,1000,,,56778941.0,ns,34272
nth_element,order_stat,1000,,,69250957.0,ns,34629
nth_element,order_stat,1000,,,77627582.0,ns,34986
nth_element,order_stat,1000,,,69135600.0,ns,35343
nth_element,order_stat,1000,,,59240387.0,ns,35700
