group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,order_stat,10000,,,801347.0,ns,17
nth_element,order_stat,10000,,,1892926.0,ns,34
nth_element,order_stat,10000,,,3171830.0,ns,51
nth_element,order_stat,10000,,,3606363.0,ns,68
nth_element,order_stat,10000,,,3941940.0,ns,85
nth_element,order_stat,10000,,,4676810.0,ns,102
nth_element,order_stat,10000,,,5679182.0,ns,119
nth_element,order_stat,10000,,,6960789.0,ns,136
nth_element,order_stat,10000,,,6911932.0,ns,153
nth_element,order_stat,10000,,,8623175.0,ns,170
nth_element,order_stat,10000,,,8601591.0,ns,187
nth_element,order_stat,10000,,,10491785.0,ns,204
nth_element,order_stat,10000,,,11500388.0,ns,221
nth_element,order_stat,10000,,,13832398.0,ns,238
nth_element,order_stat,10000,,,9919497.0,ns,255
nth_element,order_stat,10000,,,10933121.0,ns,272
nth_element,order_stat,10000,,,12717731.0,ns,289
nth_element,order_stat,10000,,,15697053.0,ns,306
nth_element,order_stat,10000,,,14114087.0,ns,323
nth_element,order_stat,10000,,,15176170.0,ns,340
nth_element,order_stat,10000,,,17762280.0,ns,357
nth_element,order_stat,10000,,,17160292.0,ns,374
nth_element,order_stat,10000,,,20927724.0,ns,391
nth_element,order_stat,10000,,,18304712.0,ns,408
nth_element,order_stat,10000,,,19317047.0,ns,425
nth_element,order_stat,10000,,,18392406.0,ns,442
nth_element,order_stat,10000,,,20023660.0,ns,459
nth_element,order_stat,10000,,,25717612.0,ns,476
nth_element,order_stat,10000,,,25642896.0,ns,493
nth_element,order_stat,10000,,,21853712.0,ns,510
nth_element,order_stat,10000,,,25944790.0,ns,527
nth_element,order_stat,10000,,,24544216.0,ns,544
nth_element,order_stat,10000,,,24334020.0,ns,561
nth_element,order_stat,10000,,,26665928.0,ns,578
nth_element,order_stat,10000,,,26997778.0,ns,595
nth_element,order_stat,10000,,,25518577.0,ns,612
nth_element,order_stat,10000,,,31168783.0,ns,629
nth_element,order_stat,10000,,,29758988.0,ns,646
nth_element,order_stat,10000,,,29585657.0,ns,663
nth_element,order_stat,10000,,,32721581.0,ns,680
nth_element,order_stat,10000,,,31887607.0,ns,697
nth_element,order_stat,10000,,,37582737.0,ns,714
nth_element,order_stat,10000,,,32704380.0,ns,731
nth_element,order_stat,10000,,,34273333.0,ns,748
nth_element,order_stat,10000,,,38412183.0,ns,765
nth_element,order_stat,10000,,,39219829.0,ns,782
nth_element,order_stat,10000,,,42699407.0,ns,799
nth_element,order_stat,10000,,,34249852.0,ns,816
nth_element,order_stat,10000,,,35914671.0,ns,833
nth_element,order_stat,10000,,,40002486.0,ns,850
nth_element,order_stat,10000,,,38589158.0,ns,867
nth_element,order_stat,10000,,,38698916.0,ns,884
nth_element,order_stat,10000,,,38718422.0,ns,901
nth_element,order_stat,10000,,,36950371.0,ns,918
nth_element,order_stat,10000,,,46022075.0,ns,935
nth_element,order_stat,10000,,,50487067.0,ns,952
nth_element,order_stat,10000,,,50068971.0,ns,969
nth_element,order_stat,10000,,,46060478.0,ns,986
nth_element,order_stat,10000,,,45610357.0,ns,1003
nth_element,order_stat,10000,,,45365345.0,ns,1020
nth_element,order_stat,10000,,,50089533.0,ns,1037
nth_element,order_stat,10000,,,46731473.0,ns,1054
nth_element,order_stat,10000,,,45736731.0,ns,1071
nth_element,order_stat,10000,,,49164305.0,ns,1088
nth_element,order_stat,10000,,,48673859.0,ns,1105
nth_element,order_stat,10000,,,48571407.0,ns,1122
nth_element,order_stat,10000,,,43065539.0,ns,1139
nth_element,order_stat,10000,,,51850469.0,ns,1156
nth_element,order_stat,10000,,,54994922.0,ns,1173
nth_element,order_stat,10000,,,62939627.0,ns,1190
nth_element,order_stat,10000,,,51181916.0,ns,1207
nth_element,order_stat,10000,,,54504634.0,ns,1224
nth_element,order_stat,10000,,,60411278.0,ns,1241
nth_element,order_stat,10000,,,56269083.0,ns,1258
nth_element,order_stat,10000,,,55877904.0,ns,1275
nth_element,order_stat,10000,,,51577136.0,ns,1292
nth_element,order_stat,10000,,,60877325.0,ns,1309
nth_element,order_stat,10000,,,56231210.0,ns,1326
nth_element,order_stat,10000,,,64846465.0,ns,1343
nth_element,order_stat,10000,,,61087010.0,ns,1360
nth_element,order_stat,10000,,,59243779.0,ns,1377
nth_element,order_stat,10000,,,54652467.0,ns,1394
nth_element,order_stat,10000,,,49248429.0,ns,1411
nth_element,order_stat,10000,,,63055705.0,ns,1428
nth_element,order_stat,10000,,,59283563.0,ns,1445
nth_element,order_stat,10000,,,60348611.0,ns,1462
nth_element,order_stat,10000,,,76175385.0,ns,1479
nth_element,order_stat,10000,,,62950597.0,ns,1496
nth_element,order_stat,10000,,,73207241.0,ns,1513
nth_element,order_stat,10000,,,68075676.0,ns,1530
nth_element,order_stat,10000,,,73610112.0,ns,1547
nth_element,order_stat,10000,,,61524711.0,ns,1564
nth_element,order_stat,10000,,,59813005.0,ns,1581
nth_element,order_stat,10000,,,77768253.0,ns,1598
nth_element,order_stat,10000,,,72054300.0,ns,1615
nth_element,order_stat,10000,,,84798931.0,ns,1632
nth_element,order_stat,10000,,,53628282.0,ns,1649
nth_element,order_stat,10000,,,67397181.0,ns,1666
nth_element,order_stat,10000,,,69955338.0,ns,1683
nth_element,order_stat,10000,,,72666680.0,ns,1700
