group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,pdqselect,100000,,,899482.0,ns,5
nth_element,pdqselect,100000,,,2088035.0,ns,10
nth_element,pdqselect,100000,,,2962787.0,ns,15
nth_element,pdqselect,100000,,,3922736.0,ns,20
nth_element,pdqselect,100000,,,4531436.0,ns,25
nth_element,pdqselect,100000,,,4625330.0,ns,30
nth_element,pdqselect,100000,,,6918641.0,ns,35
nth_element,pdqselect,100000,,,6978664.0,ns,40
nth_element,pdqselect,100000,,,10253875.0,ns,45
nth_element,pdqselect,100000,,,8871394.0,ns,50
nth_element,pdqselect,100000,,,8479945.0,ns,55
nth_element,pdqselect,100000,,,11474703.0,ns,60
nth_element,pdqselect,100000,,,9388349.0,ns,65
nth_element,pdqselect,100000,,,11576437.0,ns,70
nth_element,pdqselect,100000,,,15391501.0,ns,75
nth_element,pdqselect,100000,,,13677223.0,ns,80
nth_element,pdqselect,100000,,,14532104.0,ns,85
nth_element,pdqselect,100000,,,14316985.0,ns,90
nth_element,pdqselect,100000,,,16838277.0,ns,95
nth_element,pdqselect,100000,,,17820622.0,ns,100
nth_element,pdqselect,100000,,,21217399.0,ns,105
nth_element,pdqselect,100000,,,17489830.0,ns,110
nth_element,pdqselect,100000,,,14614106.0,ns,115
nth_element,pdqselect,100000,,,22478378.0,ns,120
nth_element,pdqselect,100000,,,17616300.0,ns,125
nth_element,pdqselect,100000,,,17872915.0,ns,130
nth_element,pdqselect,100000,,,27177334.0,ns,135
nth_element,pdqselect,100000,,,26535656.0,ns,140
nth_element,pdqselect,100000,,,25825856.0,ns,145
nth_element,pdqselect,100000,,,26876999.0,ns,150
nth_element,pdqselect,100000,,,27406198.0,ns,155
nth_element,pdqselect,100000,,,24811246.0,ns,160
nth_element,pdqselect,100000,,,30867312.0,ns,165
nth_element,pdqselect,100000,,,28912996.0,ns,170
nth_element,pdqselect,100000,,,26759916.0,ns,175
nth_element,pdqselect,100000,,,34643214.0,ns,180
nth_element,pdqselect,100000,,,22250860.0,ns,185
nth_element,pdqselect,100000,,,29429430.0,ns,190
nth_element,pdqselect,100000,,,41020877.0,ns,195
nth_element,pdqselect,100000,,,29112079.0,ns,200
nth_element,pdqselect,100000,,,34101863.0,ns,205
nth_element,pdqselect,100000,,,37590610.0,ns,210
nth_element,pdqselect,100000,,,44794696.0,ns,215
nth_element,pdqselect,100000,,,35255684.0,ns,220
nth_element,pdqselect,100000,,,36383759.0,ns,225
nth_element,pdqselect,100000,,,41111626.0,ns,230
nth_element,pdqselect,100000,,,37345872.0,ns,235
nth_element,pdqselect,100000,,,28224857.0,ns,240
nth_element,pdqselect,100000,,,31747888.0,ns,245
nth_element,pdqselect,100000,,,44294687.0,ns,250
nth_element,pdqselect,100000,,,50647348.0,ns,255
nth_element,pdqselect,100000,,,50577801.0,ns,260
nth_element,pdqselect,100000,,,48357656.0,ns,265
nth_element,pdqselect,100000,,,42499748.0,ns,270
nth_element,pdqselect,100000,,,38940268.0,ns,275
nth_element,pdqselect,100000,,,38236718.0,ns,280
nth_element,pdqselect,100000,,,38303750.0,ns,285
nth_element,pdqselect,100000,,,48419107.0,ns,290
nth_element,pdqselect,100000,,,45615174.0,ns,295
nth_element,pdqselect,100000,,,46942760.0,ns,300
nth_element,pdqselect,100000,,,62939828.0,ns,305
nth_element,pdqselect,100000,,,52895587.0,ns,310
nth_element,pdqselect,100000,,,51484421.0,ns,315
nth_element,pdqselect,100000,,,43601515.0,ns,320
nth_element,pdqselect,100000,,,52112292.0,ns,325
nth_element,pdqselect,100000,,,45699762.0,ns,330
nth_element,pdqselect,100000,,,62724346.0,ns,335
nth_element,pdqselect,100000,,,44283259.0,ns,340
nth_element,pdqselect,100000,,,65649359.0,ns,345
nth_element,pdqselect,100000,,,66549232.0,ns,350
nth_element,pdqselect,100000,,,50589906.0,ns,355
nth_element,pdqselect,100000,,,52848191.0,ns,360
nth_element,pdqselect,100000,,,52864485.0,ns,365
nth_element,pdqselect,100000,,,57678354.0,ns,370
nth_element,pdqselect,100000,,,60362039.0,ns,375
nth_element,pdqselect,100000,,,79367468.0,ns,380
nth_element,pdqselect,100000,,,74956626.0,ns,385
nth_element,pdqselect,100000,,,72682187.0,ns,390
nth_element,pdqselect,100000,,,58206760.0,ns,395
nth_element,pdqselect,100000,,,68719525.0,ns,400
nth_element,pdqselect,100000,,,90483434.0,ns,405
nth_element,pdqselect,100000,,,58605284.0,ns,410
nth_element,pdqselect,100000,,,66070051.0,ns,415
nth_element,pdqselect,100000,,,59407592.0,ns,420
nth_element,pdqselect,100000,,,70487454.0,ns,425
nth_element,pdqselect,100000,,,89938214.0,ns,430
nth_element,pdqselect,100000,,,79152795.0,ns,435
nth_element,pdqselect,100000,,,56620296.0,ns,440
nth_element,pdqselect,100000,,,95946257.0,ns,445
nth_element,pdqselect,100000,,,100497263.0,ns,450
nth_element,pdqselect,100000,,,72687013.0,ns,455
nth_element,pdqselect,100000,,,74115429.0,ns,460
nth_element,pdqselect,100000,,,62484009.0,ns,465
nth_element,pdqselect,100000,,,57684756.0,ns,470
nth_element,pdqselect,100000,,,61197273.0,ns,475
nth_element,pdqselect,100000,,,65361536.0,ns,480
nth_element,pdqselect,100000,,,80935635.0,ns,485
nth_element,pdqselect,100000,,,92335587.0,ns,490
nth_element,pdqselect,100000,,,61851260.0,ns,495
nth_element,pdqselect,100000,,,88499687.0,ns,500
