group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
nth_element,pdqselect,1000000,,,38345750.0,ns,24
nth_element,pdqselect,1000000,,,56620925.0,ns,24
nth_element,pdqselect,1000000,,,52528173.0,ns,24
nth_element,pdqselect,1000000,,,46154394.0,ns,24
nth_element,pdqselect,1000000,,,40251683.0,ns,24
nth_element,pdqselect,1000000,,,48031845.0,ns,24
nth_element,pdqselect,1000000,,,40644772.0,ns,24
nth_element,pdqselect,1000000,,,39757354.0,ns,24
nth_element,pdqselect,1000000,,,47535577.0,ns,24
nth_element,pdqselect,1000000,,,37456919.0,ns,24
nth_element,pdqselect,1000000,,,48426743.0,ns,24
nth_element,pdqselect,1000000,,,43265920.0,ns,24
nth_element,pdqselect,1000000,,,55509723.0,ns,24
nth_element,pdqselect,1000000,,,30975074.0,ns,24
nth_element,pdqselect,1000000,,,43128028.0,ns,24
nth_element,pdqselect,1000000,,,37926912.0,ns,24
nth_element,pdqselect,1000000,,,34509157.0,ns,24
nth_element,pdqselect,1000000,,,43391457.0,ns,24
nth_element,pdqselect,1000000,,,37098190.0,ns,24
nth_element,pdqselect,1000000,,,32827853.0,ns,24
nth_element,pdqselect,1000000,,,47924070.0,ns,24
nth_element,pdqselect,1000000,,,43520409.0,ns,24
nth_element,pdqselect,1000000,,,39999737.0,ns,24
nth_element,pdqselect,1000000,,,40017004.0,ns,24
nth_element,pdqselect,1000000,,,39338220.0,ns,24
nth_element,pdqselect,1000000,,,39696703.0,ns,24
nth_element,pdqselect,1000000,,,47653585.0,ns,24
nth_element,pdqselect,1000000,,,56007368.0,ns,24
nth_element,pdqselect,1000000,,,36402617.0,ns,24
nth_element,pdqselect,1000000,,,30449335.0,ns,24
nth_element,pdqselect,1000000,,,43185640.0,ns,24
nth_element,pdqselect,1000000,,,45134081.0,ns,24
nth_element,pdqselect,1000000,,,45982745.0,ns,24
nth_element,pdqselect,1000000,,,40450619.0,ns,24
nth_element,pdqselect,1000000,,,49857242.0,ns,24
nth_element,pdqselect,1000000,,,36596107.0,ns,24
nth_element,pdqselect,1000000,,,42030771.0,ns,24
nth_element,pdqselect,1000000,,,35106343.0,ns,24
nth_element,pdqselect,1000000,,,43569030.0,ns,24
nth_element,pdqselect,1000000,,,44680383.0,ns,24
nth_element,pdqselect,1000000,,,43650895.0,ns,24
nth_element,pdqselect,1000000,,,42857099.0,ns,24
nth_element,pdqselect,1000000,,,39644655.0,ns,24
nth_element,pdqselect,1000000,,,45471542.0,ns,24
nth_element,pdqselect,1000000,,,44644566.0,ns,24
nth_element,pdqselect,1000000,,,45183207.0,ns,24
nth_element,pdqselect,1000000,,,49926538.0,ns,24
nth_element,pdqselect,1000000,,,42106569.0,ns,24
nth_element,pdqselect,1000000,,,47482716.0,ns,24
nth_element,pdqselect,1000000,,,46095803.0,ns,24
nth_element,pdqselect,1000000,,,43374243.0,ns,24
nth_element,pdqselect,1000000,,,57034838.0,ns,24
nth_element,pdqselect,1000000,,,37170366.0,ns,24
nth_element,pdqselect,1000000,,,38642431.0,ns,24
nth_element,pdqselect,1000000,,,41023595.0,ns,24
nth_element,pdqselect,1000000,,,38324717.0,ns,24
nth_element,pdqselect,1000000,,,51121101.0,ns,24
nth_element,pdqselect,1000000,,,42771862.0,ns,24
nth_element,pdqselect,1000000,,,40455696.0,ns,24
nth_element,pdqselect,1000000,,,35395825.0,ns,24
nth_element,pdqselect,1000000,,,52692525.0,ns,24
nth_element,pdqselect,1000000,,,39550297.0,ns,24
nth_element,pdqselect,1000000,,,49865016.0,ns,24
nth_element,pdqselect,1000000,,,49598827.0,ns,24
nth_element,pdqselect,1000000,,,55712689.0,ns,24
nth_element,pdqselect,1000000,,,40724829.0,ns,24
nth_element,pdqselect,1000000,,,39432396.0,ns,24
nth_element,pdqselect,1000000,,,46966831.0,ns,24
nth_element,pdqselect,1000000,,,37694135.0,ns,24
nth_element,pdqselect,1000000,,,42332789.0,ns,24
nth_element,pdqselect,1000000,,,61193204.0,ns,24
nth_element,pdqselect,1000000,,,44866090.0,ns,24
nth_element,pdqselect,1000000,,,44845823.0,ns,24
nth_element,pdqselect,1000000,,,40906455.0,ns,24
nth_element,pdqselect,1000000,,,48576852.0,ns,24
nth_element,pdqselect,1000000,,,42779366.0,ns,24
nth_element,pdqselect,1000000,,,59439788.0,ns,24
nth_element,pdqselect,1000000,,,56504006.0,ns,24
nth_element,pdqselect,1000000,,,45970789.0,ns,24
nth_element,pdqselect,1000000,,,53725200.0,ns,24
nth_element,pdqselect,1000000,,,60745643.0,ns,24
nth_element,pdqselect,1000000,,,51914026.0,ns,24
nth_element,pdqselect,1000000,,,28196829.0,ns,24
nth_element,pdqselect,1000000,,,42870951.0,ns,24
nth_element,pdqselect,1000000,,,40213533.0,ns,24
nth_element,pdqselect,1000000,,,51083496.0,ns,24
nth_element,pdqselect,1000000,,,43488575.0,ns,24
nth_element,pdqselect,1000000,,,38694831.0,ns,24
nth_element,pdqselect,1000000,,,38713226.0,ns,24
nth_element,pdqselect,1000000,,,45338211.0,ns,24
nth_element,pdqselect,1000000,,,50845456.0,ns,24
nth_element,pdqselect,1000000,,,41184296.0,ns,24
nth_element,pdqselect,1000000,,,58680047.0,ns,24
nth_element,pdqselect,1000000,,,43148986.0,ns,24
nth_element,pdqselect,1000000,,,36535438.0,ns,24
nth_element,pdqselect,1000000,,,46273970.0,ns,24
nth_element,pdqselect,1000000,,,42492047.0,ns,24
nth_element,pdqselect,1000000,,,44985403.0,ns,24
nth_element,pdqselect,1000000,,,45970306.0,ns,24
nth_element,pdqselect,1000000,,,48388941.0,ns,24
